<title>;<question>;<random number>;<project>;<subquestion1>;<subquestion2>;<subquestion3>;<subquestion4>;<subquestion5>;<subquestion6>;<subquestion7>;<subquestion8>
geochemicalPara;What geochemical parameters influence microbial diversity in the groundwater?;0,4235585214;A;geochemical parameters;geochemical;microbial diversity;groundwater;;;;
tiliaCordata;What data is in the repository for the German Tree of the Year 2016 ''Tilia cordata''?;0,546564401;G;repository;German Tree of the Year 2016;Tilia cordata;;;;;
yearChange;How changes DOC/DIC over the year?;0,5006656115;A;DOC;DIC;year;;;;;
dataNeo;What data exist for Neogloboquadrina pachyderma or Globigerina bulloides?;0,7041728342;G;Neogloboquadrina pachyderma;Globigerina bulloides;;;;;;
biologicalSignals;What are biological signals?;0,3572012702;A;biological signals;;;;;;;
rootLength;What data is there for ''root length''?;0,7724401787;G;root length;root;;;;;;
temporalDynamics;Temporal dynamics of fungal communities in upper and lower aquifers.;0,3516416013;A;temporal dynamics of fungal communities;fungal communities;upper aquifer;lower aquifer;;;;
soilMoisture;How do soil moisture patterns communicate with shed precipitation patterns?;0,0038270996;A;soil moisture patterns;soil moisture;shed precipitation patterns;shed precipitation;precipitation;;;
bacteriumXY;Is Bacterium XY capable of metabolizing compound-class XYZ?;0,1993000043;A;Bacterium XY;metabolizing compound-class XYZ;metabolizing;;;;;
soilDepth;Why does carbon get older with soil depth?;0,6748744576;A;carbon;soil depth;;;;;;
kindOfPlant;On what kind of plants do Arthrocladiella mougeotii (Lév.) Vassilkov occur?;0,3622709984;G;plants;Arthrocladiella mougeotii (Lév.) Vassilkov;;;;;;
surfaceWater;What data contains samples from surface water?;0,1862550507;A;samples;surface water;;;;;;
marinePhages;Can marine phages be used as effective tracers for particle transport in soil / subsurface?;0,2812183084;A;marine phages;effective tracers;particle transport;particle;soil;subsurface;;
phageTransport;What is the relevance of phage transport for ecosystem fractioning in soil?;0,8263132774;A;the relevance of phage transport;phage transport;ecosystem fractioning;ecosystem;soil;;;
